title,genre,year,rating,votes,director,duration_min,country,box_office_million
Aquaman,Fantasy,2012,5.3,4784889,Robert Zemeckis,140,UK,1599.84
Shutter Island,Romance,2002,6.8,1430171,Zack Snyder,132,Australia,1500.36
Twilight,Adventure,1987,5.8,4888838,Martin Scorsese,98,Spain,921.94
The Dark Knight,Fantasy,1980,9.2,3109165,Quentin Tarantino,82,India,144.49
La La Land,Adventure,2002,6.1,560240,James Cameron,109,South Korea,2474.88
Ratatouille,Horror,2022,6.3,1896888,Robert Zemeckis,125,Germany,1060.07
Whiplash,Horror,2010,8.5,2313666,Steven Spielberg,129,USA,1486.42
Ant-Man,Adventure,1984,7.4,4084056,Martin Scorsese,114,Germany,2028.4
Iron Man,Horror,2021,8.1,3109352,Steven Spielberg,94,USA,2643.52
Twilight,Adventure,1999,8.6,4609191,James Cameron,178,USA,470.16
Captain America: Civil War,Fantasy,1985,6.7,4507636,Ryan Coogler,156,India,1758.26
The Godfather,Drama,2022,6.8,2788434,Ryan Coogler,208,Spain,288.91
Deadpool,Sci-Fi,1984,7.3,2168596,Zack Snyder,158,Australia,2667.57
Titanic,Adventure,1983,7.8,4801897,Quentin Tarantino,199,Australia,2199.49
Mad Max: Fury Road,Romance,2018,9.6,3610515,Ridley Scott,91,India,203.18
Inside Out,Sci-Fi,2020,6.1,2884289,Ridley Scott,187,Canada,2664.92
Inglourious Basterds,Action,2014,5.8,865428,Steven Spielberg,95,Japan,2200.81
Us,Action,2020,8.5,1562925,Christopher Nolan,193,Japan,267.87
Avengers: Endgame,Thriller,2007,8.3,3476049,Ridley Scott,195,UK,1839.83
Insidious,Fantasy,2020,5,2575347,Christopher Nolan,115,Japan,1450.74
Aquaman,Animation,2020,8.1,3714972,Christopher Nolan,202,India,1210.14
A Quiet Place,Drama,2008,5.2,3371216,Quentin Tarantino,128,Spain,1843.53
Zootopia,Romance,2003,5.9,1193502,Peter Jackson,108,Spain,556.11
Big Hero 6,Fantasy,1995,6.1,4073652,Denis Villeneuve,178,Australia,1822.43
Divergent,Thriller,1988,7,3821267,Ryan Coogler,148,Australia,2482.88
Avengers: Endgame,Animation,2002,4.7,3412717,Tim Burton,177,Canada,1550.39
Logan,Adventure,1994,6.5,4083095,James Cameron,199,India,187.17
Birdman,Animation,2020,8,147621,Tim Burton,136,Spain,2796.81
The Conjuring,Animation,1995,9.3,4403050,Ridley Scott,127,India,347.38
Catch Me If You Can,Animation,1999,8,3174818,Ryan Coogler,83,Canada,2218.34
Arrival,Animation,2012,9,3387057,Zack Snyder,152,UK,1765.43
Blue Beetle,Romance,2019,9.5,4122641,Quentin Tarantino,87,USA,2344.2
Ratatouille,Comedy,2009,8.2,2012745,Christopher Nolan,183,Spain,2595.39
Inception,Thriller,2023,4.6,4327243,Ridley Scott,153,USA,613.9
Iron Man,Animation,1992,7.3,3854664,Tim Burton,177,Australia,1997.6
12 Years a Slave,Comedy,2002,6,3028583,Martin Scorsese,204,Japan,551.17
Guardians of the Galaxy,Comedy,2014,7.1,169580,Denis Villeneuve,114,India,898.36
Kung Fu Panda,Drama,1995,6.9,4136181,Quentin Tarantino,125,South Korea,1784.66
Inglourious Basterds,Action,2006,8,4254764,Tim Burton,185,France,1481.94
12 Years a Slave,Drama,1980,5.9,1807848,Steven Spielberg,140,Canada,387.02
Wonder Woman,Fantasy,1990,4.9,304525,Steven Spielberg,175,UK,2640.41
Superman,Romance,2010,8.7,3423176,Martin Scorsese,170,Germany,1612.48
Moana,Action,1998,5.3,573950,Quentin Tarantino,118,Canada,1405.24
Zootopia,Animation,1992,8.8,2853686,Martin Scorsese,108,France,1977.17
12 Years a Slave,Animation,2022,9.4,849084,Tim Burton,205,Spain,1407.61
Man of Steel,Sci-Fi,2018,9.1,3382096,Steven Spielberg,152,Japan,2547.41
The Matrix,Fantasy,2018,6.7,4883572,Robert Zemeckis,204,Australia,2287.88
Superman,Comedy,2020,8,1053896,Denis Villeneuve,119,UK,1152.93
Whiplash,Comedy,2009,9.7,3400900,Robert Zemeckis,157,Australia,2036.25
Eternals,Romance,1987,5.2,1477723,Patty Jenkins,102,India,1825.87
Up,Adventure,2006,9.7,624837,Greta Gerwig,133,India,1354.82
Aquaman 2,Action,1983,6.6,1637784,Greta Gerwig,159,India,1020.38
Avengers: Endgame,Thriller,2014,6.5,2097370,Ryan Coogler,106,Spain,2704.55
Insidious,Adventure,2005,7.7,1308046,Robert Zemeckis,175,Australia,2243.1
Pulp Fiction,Adventure,1983,6,113807,Denis Villeneuve,91,Canada,1793.14
Moana,Adventure,2017,8.3,1219002,Zack Snyder,176,UK,1885.87
Interstellar,Action,2016,5.1,1187360,Zack Snyder,177,France,1830.66
Pulp Fiction,Adventure,2012,8.8,3567137,James Cameron,89,Japan,803.81
Divergent,Adventure,1984,5.5,1817840,James Cameron,181,UK,619.35
The Social Network,Comedy,2009,7.7,4733719,Ryan Coogler,80,UK,2262.22
Spider-Man: No Way Home,Action,1985,7.4,4455982,Denis Villeneuve,200,Germany,897.25
Zootopia,Action,2009,6.8,2870361,Christopher Nolan,207,Australia,1761.7
"Monsters, Inc.",Horror,2001,4.8,1243134,Zack Snyder,134,Japan,2768.08
Fight Club,Adventure,1991,8.1,4289540,Zack Snyder,125,Australia,810.97
The Batman,Animation,2014,9.3,3179202,Ridley Scott,103,Canada,26.06
Coco,Adventure,2006,7.9,3238752,Ryan Coogler,127,USA,2690.96
The Exorcist,Animation,2016,5.4,2954058,Ridley Scott,173,France,925.06
La La Land,Romance,1983,7.1,1618075,Peter Jackson,165,France,604.95
The Shawshank Redemption,Sci-Fi,2013,6.7,690265,Zack Snyder,199,UK,1254.34
Divergent,Adventure,2003,7.6,2100960,Ridley Scott,205,India,1316.4
Iron Man,Horror,1984,5.1,4145827,Quentin Tarantino,166,Australia,477.32
The Flash,Adventure,2021,8.4,919655,Zack Snyder,147,France,1462
Wonder Woman,Sci-Fi,2001,7.6,3243917,Peter Jackson,109,Japan,2610.57
The Incredibles,Action,2000,7.8,2273594,Peter Jackson,125,USA,503.24
Luca,Romance,1987,9.7,3331013,Peter Jackson,127,Germany,1100.68
Up,Horror,1992,6.3,4571833,Steven Spielberg,111,India,2017.29
The Incredibles,Animation,2020,7.2,2657692,Quentin Tarantino,112,France,2582.73
Eternals,Adventure,2016,8.1,2681078,Martin Scorsese,203,USA,184.55
Memento,Animation,1995,8.6,1042422,Martin Scorsese,133,India,1906.78
The Shawshank Redemption,Sci-Fi,2014,5.6,4478275,Martin Scorsese,173,France,27.73
Kung Fu Panda,Fantasy,1985,8.7,2703847,Ridley Scott,131,Canada,1213.2
Arrival,Fantasy,1981,7.6,4809510,Peter Jackson,100,UK,414.37
Aquaman,Animation,2007,6.2,1751889,Tim Burton,151,Canada,1623.54
Captain America: Civil War,Action,2013,6.5,1095237,Martin Scorsese,150,UK,1602.28
Iron Man,Action,2018,6.3,4999870,Greta Gerwig,184,USA,1782.88
Deadpool,Comedy,2006,6.5,542451,James Cameron,204,Germany,1786.7
Shrek,Drama,2014,8.2,4658388,Sam Raimi,90,Canada,1619.76
Ant-Man,Sci-Fi,2021,5.4,3123348,Martin Scorsese,192,Australia,1668.32
Doctor Strange,Animation,1994,9.4,3091047,Patty Jenkins,99,Germany,433.6
Inglourious Basterds,Action,1989,5.6,4703647,Greta Gerwig,145,France,1290.8
Aquaman,Animation,1998,5.4,2831467,Ryan Coogler,128,UK,617.97
The Matrix,Comedy,1985,4.9,4767868,Denis Villeneuve,201,Canada,333.98
The Lion King,Adventure,1992,7.8,1163222,Denis Villeneuve,192,Australia,2779.15
Encanto,Adventure,2021,8.2,1563328,Patty Jenkins,118,India,1523.43
Birdman,Action,1995,5.7,4025519,Martin Scorsese,129,UK,1002.85
Dunkirk,Action,1996,8.8,103211,Ridley Scott,95,USA,1022.43
"Monsters, Inc.",Action,1988,8.1,4529953,Christopher Nolan,88,UK,2320.64
Doctor Strange,Comedy,2021,8.3,1321810,Quentin Tarantino,96,Germany,253.41
The Prestige,Comedy,2017,6,1824752,Denis Villeneuve,139,Spain,2069.04
Spider-Man: No Way Home,Animation,2007,9.3,1780372,Denis Villeneuve,132,USA,263.02
The Incredibles,Drama,2022,6.6,3374799,Zack Snyder,173,India,856.03
Mad Max: Fury Road,Drama,2022,5,1352463,Quentin Tarantino,88,France,1925.9
Eternals,Animation,2000,6.9,2058836,Zack Snyder,84,South Korea,1357.7
Maze Runner,Romance,2007,7.2,516961,Christopher Nolan,186,Germany,1938.25
Thor: Love and Thunder,Comedy,1982,8.8,2219050,Christopher Nolan,124,South Korea,2758.06
Avengers: Endgame,Fantasy,1984,4.6,3452437,Martin Scorsese,163,Spain,2555.69
Man of Steel,Adventure,1994,7.1,4354335,Martin Scorsese,124,India,565.67
Get Out,Animation,2000,9.6,3801518,Steven Spielberg,85,Australia,2588.03
Shang-Chi,Horror,1985,6.8,1714932,Christopher Nolan,131,Japan,2192.62
Venom,Thriller,2018,5.1,516224,Steven Spielberg,83,Germany,543.07
Maze Runner,Thriller,1993,5.8,2851081,Martin Scorsese,207,USA,1090.07
It Chapter Two,Drama,2018,4.5,3061160,Robert Zemeckis,133,South Korea,1988.1
Doctor Strange: Multiverse of Madness,Comedy,2022,9.1,406185,Robert Zemeckis,82,Japan,327.78
Tenet,Sci-Fi,2006,9.4,353690,Denis Villeneuve,142,Spain,1418.94
Oppenheimer,Sci-Fi,2015,4.8,3213638,Peter Jackson,194,Australia,263.99
The Hunger Games,Horror,1984,7.1,4078449,Ridley Scott,149,Germany,958.32
The Social Network,Action,2016,5.9,3998615,Peter Jackson,94,USA,2233.59
Guardians of the Galaxy,Drama,1993,9,3587032,Christopher Nolan,152,Canada,2685.99
Coco,Action,1997,9.3,1196789,Peter Jackson,172,India,1627.45
The Flash,Animation,1997,7,388230,Peter Jackson,168,India,2470.6
Ratatouille,Animation,2023,8.3,1422646,Sam Raimi,137,Australia,1273.84
Doctor Strange: Multiverse of Madness,Animation,1999,9.3,2329794,James Cameron,84,South Korea,860.92
Twilight,Animation,2018,5.9,3932676,Quentin Tarantino,142,France,2668.96
Gladiator,Horror,2020,5.7,2355355,Greta Gerwig,84,Canada,1905.48
Venom,Horror,2022,8,874384,Quentin Tarantino,208,South Korea,1808.42
The Irishman,Comedy,2003,5.5,2988742,Sam Raimi,118,Germany,2422.43
It Chapter Two,Sci-Fi,2021,5.3,4669578,Christopher Nolan,133,Canada,412.91
Hereditary,Fantasy,2010,9.7,57976,Ryan Coogler,205,India,2103.05
The Shawshank Redemption,Adventure,1996,6.9,4207909,James Cameron,123,Spain,432.98
The Prestige,Action,1993,5.6,2992709,Christopher Nolan,126,UK,2503.86
Tenet,Horror,1990,7.1,2866257,Patty Jenkins,175,India,2742.72
Forrest Gump,Sci-Fi,2016,8.7,4639269,Peter Jackson,184,Spain,1415.83
The Godfather,Sci-Fi,2020,5.4,3710273,Denis Villeneuve,152,Australia,1348.55
The Suicide Squad,Thriller,1991,7,2141984,Robert Zemeckis,131,UK,1762.25
Ant-Man,Horror,2022,6.2,130538,Ryan Coogler,133,UK,2081.08
Finding Nemo,Comedy,1994,8.5,2409947,Christopher Nolan,87,Germany,1332.74
Toy Story,Sci-Fi,1980,4.5,3130133,Denis Villeneuve,114,Canada,676.04
Thor: Ragnarok,Horror,2008,6.3,1018162,Greta Gerwig,207,South Korea,1572.95
Divergent,Action,2014,5.9,2777525,Quentin Tarantino,171,Japan,1409.08
The Godfather,Animation,1994,5.9,1268993,Martin Scorsese,168,USA,1379.91
Captain America: Civil War,Thriller,1985,9.2,3448776,Christopher Nolan,187,Germany,361.28
Coco,Sci-Fi,2016,4.9,4480748,Steven Spielberg,201,France,1916.26
12 Years a Slave,Fantasy,1983,8.8,1876348,Peter Jackson,210,France,2539.33
Logan,Animation,2010,5.9,1149964,Peter Jackson,100,Spain,143.88
Ratatouille,Romance,2014,8,2860746,Steven Spielberg,108,USA,1187.12
A Quiet Place,Fantasy,1993,9,2409010,James Cameron,102,France,2599.79
Inglourious Basterds,Action,2008,6.3,1275181,Quentin Tarantino,147,USA,2138.11
Saving Private Ryan,Comedy,1982,4.8,645741,Ridley Scott,152,South Korea,1840.78
Dune,Fantasy,1989,7.6,3907007,Denis Villeneuve,109,South Korea,2053.09
Get Out,Romance,2021,5.9,1846346,Robert Zemeckis,192,Japan,1765.12
A Quiet Place,Horror,1992,6,615331,Robert Zemeckis,124,USA,2781.18
Shang-Chi,Fantasy,2001,6,658155,Ridley Scott,172,Spain,1696.95
Titanic,Fantasy,2010,9.6,3006191,Steven Spielberg,140,South Korea,1827.91
"Monsters, Inc.",Adventure,2015,6.5,1396990,Peter Jackson,197,Canada,1356.73
Us,Sci-Fi,2018,7.4,4692393,James Cameron,92,Canada,313.2
Avatar,Drama,2004,5.7,1098281,Patty Jenkins,158,Japan,1076.34
Whiplash,Drama,2019,8.7,3946443,Patty Jenkins,197,South Korea,1061.84
Deadpool,Horror,2008,4.9,141945,Peter Jackson,191,Canada,147.67
Frozen II,Drama,1984,8.4,3655991,Peter Jackson,86,France,1380.2
Us,Romance,1995,6,3529283,Zack Snyder,158,Germany,372.11
Shrek,Drama,2023,6.5,2833899,Denis Villeneuve,198,France,961.06
Inside Out,Thriller,1980,6.4,3806382,Peter Jackson,147,Germany,1051.53
Wall-E,Sci-Fi,1981,6.3,1148346,Quentin Tarantino,94,Japan,1153.22
A Quiet Place,Horror,2018,6.4,2174608,Zack Snyder,124,USA,793.12
Aquaman,Comedy,2002,7.8,2321216,Greta Gerwig,174,France,1952
The Incredibles,Drama,1999,8.6,3206688,Peter Jackson,210,India,2286.43
The Departed,Thriller,2014,6.8,722121,Martin Scorsese,209,UK,1903.01
Avatar,Adventure,2004,9.2,4012094,Greta Gerwig,137,India,380.11
The Dark Knight,Romance,1999,5.6,314451,Ridley Scott,117,USA,443.16
Parasite,Thriller,2004,5,3631081,James Cameron,86,France,1947.82
The Godfather,Horror,1994,7.3,2867097,James Cameron,94,USA,1615.32
Captain America: Civil War,Thriller,2006,8.1,2582211,Peter Jackson,193,Australia,937.69
Divergent,Thriller,2022,5.4,3838988,Peter Jackson,143,USA,2794.6
Schindler's List,Drama,2016,8.5,3593776,Steven Spielberg,89,Japan,2076.33
Spider-Man: No Way Home,Action,1984,8.1,4909672,Christopher Nolan,160,Japan,2700.48
Saving Private Ryan,Animation,1996,5.4,1484129,Tim Burton,110,UK,1038.44
Inglourious Basterds,Horror,2007,9.6,4611264,Quentin Tarantino,175,South Korea,2316.69
Birdman,Adventure,2013,5.4,367772,Denis Villeneuve,125,Canada,2676.18
Luca,Adventure,2004,5.4,2729370,Ryan Coogler,192,France,798.63
The Prestige,Romance,2006,6.9,2126297,Ridley Scott,191,Canada,2378.46
Spider-Man: No Way Home,Sci-Fi,2002,6.4,4451712,Sam Raimi,147,Canada,406.6
Catch Me If You Can,Thriller,2007,9.8,3212496,Denis Villeneuve,199,France,1543.75
Get Out,Drama,2023,8.6,4599664,Ryan Coogler,187,USA,1368.49
Captain America: Civil War,Romance,2000,6.4,1189761,Martin Scorsese,143,Spain,885.68
Thor: Ragnarok,Drama,1986,8.8,2561247,Christopher Nolan,203,India,735.67
Shang-Chi,Fantasy,2009,7.2,3044991,Martin Scorsese,181,USA,1641.91
Big Hero 6,Action,2007,9,2433935,Tim Burton,142,Japan,883.02
Aquaman,Fantasy,2005,4.6,2719717,Sam Raimi,203,USA,1771.14
Aquaman,Romance,2001,5.1,1180971,Patty Jenkins,144,Germany,1204.85
Joker,Action,1984,6.4,4504954,Denis Villeneuve,97,UK,2610.73
Logan,Sci-Fi,1984,9.5,4456601,Martin Scorsese,157,Japan,243.42
Eternals,Sci-Fi,2006,6.6,895107,Patty Jenkins,85,UK,2565.01
Black Panther,Sci-Fi,2008,6.6,1581950,Zack Snyder,169,Canada,1422.67
The Revenant,Sci-Fi,1996,6.7,11226,Christopher Nolan,148,Spain,734.15
The Revenant,Action,1987,9,1109273,Tim Burton,173,USA,2673.31
Frozen,Horror,1984,5.6,2494660,Greta Gerwig,210,Australia,1380.56
The Suicide Squad,Animation,1997,5.3,4747521,Tim Burton,196,UK,1759.72
Zootopia,Adventure,1999,8.7,849046,Tim Burton,101,South Korea,361.06
Divergent,Comedy,1993,8.1,1008008,Tim Burton,131,Australia,2634.33
The Incredibles,Adventure,2022,5.4,1372630,Zack Snyder,140,UK,728.58
Dune,Fantasy,2017,4.8,2446319,Ridley Scott,87,Japan,453.32
The Suicide Squad,Comedy,2007,5.5,3059854,Sam Raimi,167,UK,8.76
Birdman,Animation,1994,8.8,1008497,Patty Jenkins,157,USA,2380.68
Black Panther,Romance,2019,8.1,3651813,Greta Gerwig,167,Germany,2518.88
The Incredibles,Animation,2002,9.3,4467769,Quentin Tarantino,113,India,2301.26
Soul,Thriller,1991,5.8,3388632,Ridley Scott,89,South Korea,898.5
Parasite,Adventure,2016,6.8,1822335,Robert Zemeckis,143,France,57.09
Dunkirk,Romance,2017,7.3,4322212,James Cameron,116,Spain,1680.73
Inception,Action,2016,5.5,1727721,Peter Jackson,118,UK,2452.54
Wonder Woman,Animation,1991,5.4,4413301,Tim Burton,160,India,1138.13
Arrival,Fantasy,1997,5.2,2462705,Zack Snyder,193,Germany,1228.06
The Departed,Sci-Fi,2022,6.5,945689,Robert Zemeckis,113,Spain,1594.65
Encanto,Romance,1985,8.9,717945,Steven Spielberg,148,Spain,426.88
Birdman,Adventure,2009,4.7,3352449,Robert Zemeckis,134,Japan,1542.83
Brave,Thriller,2016,9.1,2385041,Tim Burton,112,South Korea,1807.06
Catch Me If You Can,Sci-Fi,2019,9.2,477617,Martin Scorsese,128,Spain,2059.83
Captain America: Civil War,Animation,1980,5.7,3472620,Greta Gerwig,111,Germany,1059.65
The Conjuring,Fantasy,1990,7.4,4759605,Steven Spielberg,163,Japan,352.77
Oppenheimer,Horror,1992,7.3,1927149,Zack Snyder,167,India,2070.62
La La Land,Horror,1997,5.5,1377013,Robert Zemeckis,105,India,1929.38
Inside Out,Animation,2018,6.3,627473,Christopher Nolan,134,Canada,2412.28
The Lion King,Action,2019,9.1,657516,James Cameron,122,Australia,1397.49
Doctor Strange: Multiverse of Madness,Drama,2013,5.8,1151105,Robert Zemeckis,158,Spain,1881.22
Doctor Strange,Sci-Fi,2001,6.8,2379122,Zack Snyder,119,Canada,764.51
Luca,Horror,2004,8.8,1538048,Robert Zemeckis,106,UK,1257.36
Zootopia,Animation,2016,9.2,1163660,Denis Villeneuve,154,Spain,1777.59
Blade Runner 2049,Drama,2009,6.8,964785,Denis Villeneuve,177,India,1275.33
Zootopia,Horror,1983,9.3,2506806,Tim Burton,111,Spain,180.23
Saving Private Ryan,Sci-Fi,2015,4.7,1036201,Quentin Tarantino,198,South Korea,1606.66
Memento,Adventure,1982,8.7,2263052,Zack Snyder,90,India,2346.27
Luca,Fantasy,1984,6.2,4724474,Denis Villeneuve,82,India,280.86
Logan,Comedy,2012,9.7,383482,Quentin Tarantino,87,India,496.75
A Quiet Place,Fantasy,2018,8.9,56173,Steven Spielberg,209,France,741.19
X-Men: Days of Future Past,Drama,2008,7.5,1675980,Sam Raimi,209,France,853.8
Pulp Fiction,Thriller,1981,8.3,109876,Steven Spielberg,150,UK,1682.76
Brave,Comedy,1995,4.6,1515849,Robert Zemeckis,154,India,1664.09
The Ring,Thriller,2008,7.9,644278,Ridley Scott,102,USA,586.44
The Revenant,Romance,1984,5.5,2541927,James Cameron,180,South Korea,2055.67
Kung Fu Panda,Adventure,2001,7.6,4259647,Patty Jenkins,191,Japan,1131.47
Inception,Sci-Fi,1989,4.9,4731006,Sam Raimi,149,Australia,1287.19
Eternals,Horror,1997,6.5,3926144,Greta Gerwig,97,Australia,1436.61
Venom,Fantasy,1985,9.7,4325113,Sam Raimi,127,Canada,1624.84
The Suicide Squad,Comedy,1988,9.6,795579,Ridley Scott,100,Spain,987.79
Finding Nemo,Horror,2023,5.7,4546178,Steven Spielberg,89,South Korea,1014.53
The Suicide Squad,Animation,2022,8,4709801,Steven Spielberg,183,Spain,1446.39
Avengers: Endgame,Adventure,2000,8.7,105671,Quentin Tarantino,174,Australia,1750.67
Twilight,Romance,2021,9.6,3952798,Zack Snyder,155,India,1574.91
Saving Private Ryan,Adventure,2021,7,1736624,Martin Scorsese,149,Canada,1821.57
Brave,Fantasy,2012,7.1,4579686,Tim Burton,200,Canada,2180.83
The Hunger Games,Adventure,2016,9.8,1721488,Ridley Scott,157,Spain,1650.35
Birdman,Comedy,2003,5.5,3074259,Denis Villeneuve,206,UK,2418.62
The Irishman,Fantasy,1983,7.3,845674,James Cameron,149,Germany,153.51
The Revenant,Drama,2018,6.7,304729,James Cameron,134,India,1498.92
Logan,Drama,2021,9,1399391,Quentin Tarantino,106,Japan,2126.31
Wall-E,Thriller,2003,8.8,2553159,Tim Burton,144,Spain,371.6
Guardians of the Galaxy,Comedy,1988,7,4436080,Ridley Scott,192,Australia,839.9
Memento,Horror,2011,7.2,2951322,Ridley Scott,106,South Korea,636.24
Maze Runner,Romance,2020,7.2,4570095,James Cameron,191,South Korea,1679.17
Brave,Comedy,2015,7,4685341,Patty Jenkins,180,Spain,1584.5
Big Hero 6,Thriller,1987,6.6,1100444,Ridley Scott,105,Canada,1873.09
12 Years a Slave,Horror,1996,9.8,3664312,Christopher Nolan,149,India,404.19
Fight Club,Animation,2013,7.3,4192006,Robert Zemeckis,204,South Korea,1304.25
Man of Steel,Sci-Fi,2010,9.1,4714313,Zack Snyder,167,South Korea,1259.07
Thor: Ragnarok,Drama,1987,9.6,4497274,Sam Raimi,128,Japan,2711.5
Saving Private Ryan,Action,2009,9.5,2895191,James Cameron,141,Australia,2307.52
Captain America: Civil War,Sci-Fi,2010,5.2,1576799,Patty Jenkins,146,Spain,2386.49
Finding Nemo,Romance,1986,7.3,3311518,Ridley Scott,196,Spain,487.88
The Batman,Comedy,1982,5.6,4000780,Quentin Tarantino,167,UK,2360.33
Barbie,Adventure,1989,8.8,4359986,Ryan Coogler,156,India,1777.57
Forrest Gump,Action,2022,6.4,57375,Tim Burton,159,France,2550.03
Fight Club,Drama,1993,7.9,4416313,Robert Zemeckis,116,France,175.04
Tenet,Comedy,2018,9.2,4853434,Tim Burton,159,Japan,1399.88
La La Land,Adventure,1982,9.3,1026337,Steven Spielberg,149,Germany,2616.94
The Prestige,Drama,2003,8.9,4370834,Ryan Coogler,208,Spain,2479
Logan,Horror,2015,7,587991,Patty Jenkins,121,UK,93.27
Shang-Chi,Romance,1999,8.7,4544297,Tim Burton,148,South Korea,1003.96
The Matrix,Thriller,1997,7.3,3159176,Sam Raimi,127,Canada,733.79
Doctor Strange: Multiverse of Madness,Horror,2019,5,2718434,Quentin Tarantino,185,UK,1943.72
Thor: Love and Thunder,Horror,1987,9.4,2825919,Christopher Nolan,142,Australia,1782.23
Inside Out,Animation,1983,7.7,3556479,Patty Jenkins,149,Germany,416.92
Justice League,Romance,2016,8.6,2055786,Robert Zemeckis,155,France,588.71
Gladiator,Thriller,2014,7.6,1021229,Christopher Nolan,162,USA,1583.24
The Incredibles,Sci-Fi,1985,6.7,3684026,Sam Raimi,145,Australia,921.06
Man of Steel,Horror,2022,9.5,3580527,Martin Scorsese,109,India,671.56
Schindler's List,Action,2000,7.1,550640,Quentin Tarantino,129,France,2669.4
Wall-E,Drama,1983,8.7,2585550,Robert Zemeckis,149,Japan,1439.54
Captain America: Civil War,Adventure,2009,6.1,4344270,Quentin Tarantino,146,USA,1121.48
The Social Network,Animation,1999,7.1,1387225,Ryan Coogler,133,Canada,2527.89
Us,Action,1991,8.8,2599619,Robert Zemeckis,102,India,1944.05
Doctor Strange,Animation,2013,9.3,21861,James Cameron,96,Australia,2293.48
Aquaman,Action,2018,5.9,3808720,James Cameron,168,India,1649.74
Eternals,Adventure,2018,9.1,2798692,Christopher Nolan,88,Australia,2411.46
Guardians of the Galaxy,Action,2001,9.7,966855,Ryan Coogler,164,India,596.14
Coco,Horror,1982,9.5,4185516,Greta Gerwig,90,India,328.96
Get Out,Fantasy,2006,9.7,376898,Greta Gerwig,146,Germany,668.49
It Chapter Two,Romance,2021,7.2,443709,Martin Scorsese,122,Canada,1894.73
The Revenant,Adventure,1997,6.4,1285100,Martin Scorsese,116,South Korea,2061.66
Blade Runner 2049,Romance,2001,5.8,4027820,James Cameron,125,UK,2187.59
Coco,Thriller,1991,8.7,4055981,Sam Raimi,85,Spain,1931.03
Inside Out,Adventure,1981,7.9,993299,Patty Jenkins,147,Japan,2092.22
The Social Network,Fantasy,1982,5.5,1607636,Ryan Coogler,82,India,2651.68
The Social Network,Comedy,2016,5.5,2161003,Sam Raimi,154,Japan,1912.27
Django Unchained,Fantasy,1992,7.1,3920961,James Cameron,204,Germany,1620.66
Interstellar,Sci-Fi,2008,6.1,4951575,James Cameron,95,Australia,2718.53
The Batman,Action,2008,6.8,3887802,Martin Scorsese,176,UK,1188.4
The Revenant,Animation,2005,9.7,2714642,Steven Spielberg,125,Spain,233.17
Shutter Island,Comedy,2019,8.2,1052334,Ryan Coogler,178,India,1639.77
Barbie,Animation,1997,6.7,3670154,Sam Raimi,85,UK,1536.54
